Image_ID,Contrast_Std,Sharpness_Var,Brightness_Mean,Vessel_Mean,Background_Mean,Vessel_BG_Contrast
train_21,61.278893083121226,319.1998114797279,101.04354770275185,118.90741341552437,99.6007559727745,19.30665744274988
train_22,60.00726285003411,300.4154247395725,96.68179173233119,115.81217082089302,94.78188978214298,21.030281038750033
train_23,65.2006487690329,213.63024748301333,107.01087404533882,124.76577820742992,105.75959732283924,19.006180884590677
train_24,65.31106131949248,298.18857198161254,107.39285064856347,128.85087237437548,104.58094957340838,24.26992280096711
train_25,50.895997231663145,265.43843629837266,86.04096860225482,106.91180649846854,83.82515060796337,23.08665589050517
train_26,40.68761670591642,279.5969280776599,70.43554673293733,80.81587059804882,69.48902234553734,11.326848252511482
train_27,62.05491867369828,320.674390676454,101.95857982785792,124.68245451105837,99.76290102264305,24.919553488415318
train_28,58.4333343204929,347.91118438481044,95.74252333616197,113.35487774605933,93.83607405317534,19.518803692883992
train_29,49.106480673504315,256.08434446462735,80.46899018062796,95.47814493171417,79.09074183760245,16.38740309411172
train_30,40.334009453215884,274.31986753687954,69.05944963025821,80.48833256065524,68.08658361725358,12.401748943401657
train_31,59.950359705118224,262.2929488577789,96.5078494362953,114.10001005126144,95.37888551321994,18.721124538041494
train_32,60.780864052591305,274.32582833177804,99.67409686022548,120.97324340349837,97.77712756125898,23.196115842239394
train_33,61.90248617802614,319.39170453569346,101.94695720693417,118.6245222213895,100.47944762821739,18.14507459317211
train_34,57.425755949428996,276.5808067787022,85.87473633167657,103.91064515129928,83.9184776583701,19.992167492929184
train_35,54.96891178364253,315.3763973967313,89.94074433264637,103.73287431846778,88.63122701992381,15.101647298543966
train_36,52.366030989188545,296.55857126122663,86.13188871378348,99.74264296065098,84.47106530284688,15.271577657804102
train_37,53.73057956256612,401.4950998876389,86.80852224512063,99.81997850282583,85.56229264842139,14.257685854404443
train_38,60.30179890250692,294.7132947959719,99.56960237604558,118.81230466692418,97.7520059174149,21.060298749509272
train_39,52.25502548688352,287.4641978199332,88.20688871378348,102.14780584168196,86.89660557272256,15.251200268959394
train_40,44.92758522017454,284.7989437545254,75.63567705176385,84.90916363345467,74.87542259779184,10.033741035662828
test_01,54.90521146468515,378.03749375881773,92.41400472784579,128.0514045557254,16.680100016101076,111.37130453962433
test_02,63.8120419642948,284.9316559585919,105.55641592920354,147.07437568584592,16.447178968848036,130.6271967169979
test_03,44.83347216074164,203.74427909906674,77.2775275791005,105.86540821434743,15.367609106520968,90.49779910782645
test_04,56.760487714862464,279.99485387016904,90.74373257364529,124.7291510126243,15.200922028071066,109.52822898455324
test_05,51.06773854219108,293.1690845002688,87.20696751121348,119.29806801263105,15.757536644274301,103.54053136835675
test_06,53.293385222521806,333.9803951211989,88.93762880349134,122.11142906122664,15.280272493924517,106.83115656730213
test_07,59.28263709436999,257.0174268800896,95.36740514001697,131.23047765455144,15.540206286356748,115.69027136819469
test_08,54.538577215243485,282.0416494516335,90.12137228755,124.8298009305299,15.459402933761174,109.37039799676873
test_09,59.57396675739812,285.52235479435996,100.90211843859862,139.06556268119124,15.972600195503421,123.09296248568782
test_10,48.446398599260164,285.4136596002808,80.99167777912474,110.56313673393979,15.487732392719336,95.07540434122045
test_11,61.60840569580789,289.9400543939018,100.20288216753546,138.06579929240522,15.758042409883892,122.30775688252132
test_12,56.57879151130091,339.78558395289645,94.70487937931871,130.28788031897366,15.579590640418152,114.70828967855552
test_13,58.773819861682206,309.00989738452824,96.57626378955025,133.30180659340658,15.031651376146788,118.2701552172598
test_14,57.47314439000903,336.9140391316953,96.80197599709055,133.75780814154277,16.627706376193494,117.13010176534928
test_15,48.18665533144689,287.5114471363185,78.3887743968966,106.8377002031716,15.316069652711425,91.52163055046017
test_16,60.888423005408065,330.53765813361315,101.19446902654867,139.58799968378614,15.711741927913481,123.87625775587266
test_17,63.12089897533165,356.6472332121234,104.5780306703843,145.38478156930105,16.01205849571467,129.37272307358637
test_18,61.28896382916062,307.2627518754188,101.86725057582737,140.51705973323024,15.91383319654512,124.60322653668513
test_19,47.5588394036484,339.68434823950935,78.81990544308401,107.79785212939997,14.579787856335063,93.21806427306491
test_20,52.253152609386945,284.60578280007053,88.46459267790036,121.30683930855342,15.518621201323741,105.78821810722968
