Dice,IoU,Sensitivity,Specificity,Accuracy,Experiment,Fold,Image_Idx
0.8033881790882036,0.6713857953333909,0.7931301973414635,0.9803716093664838,0.9620832828218687,Enhanced + UNet,5,28
0.7399606851990547,0.5872520615088506,0.7945522162991528,0.9773464661903176,0.9663231906894877,Enhanced + UNet,5,31
0.8097643097629466,0.6803394625157557,0.8405564098950071,0.9776404688264141,0.9657534246572416,Enhanced + UNet,5,35
0.802586106471474,0.6702662386072891,0.8382269445987581,0.9797610235108254,0.9691841435322557,Enhanced + AttentionUNet,1,21
0.7880448230747145,0.6502260463740697,0.7478613841432189,0.9850875059550076,0.9636562007513142,Enhanced + AttentionUNet,1,22
0.8044661833627326,0.6728928719268614,0.7700089176213075,0.9823889062687936,0.9592920353979394,Enhanced + AttentionUNet,1,36
0.7830612001146832,0.643468020075026,0.8058433121438149,0.9761644935200405,0.961465026063474,Enhanced + AttentionUNet,1,38
0.8032177855772953,0.6711478294860403,0.7182505427797791,0.9908031714144226,0.959225360649485,Enhanced + AttentionUNet,2,24
0.758017944691669,0.6103292245261028,0.7093170855521368,0.9852110044410027,0.9621560189110916,Enhanced + AttentionUNet,2,26
0.7907588070849316,0.6539297633242891,0.7696299232432358,0.9837529656625105,0.9657443326460887,Enhanced + AttentionUNet,2,29
0.7893697322862323,0.6520320475523291,0.7479617551113699,0.9868966518796911,0.96735664929053,Enhanced + AttentionUNet,2,32
0.7853692545172417,0.646590955677723,0.726004695480707,0.9913443227123961,0.9738756212871337,Enhanced + AttentionUNet,3,23
0.64717959073666,0.4783928349285274,0.5955647783919362,0.9734339358957738,0.936458964722713,Enhanced + AttentionUNet,3,34
0.79057744119859,0.6536817388143366,0.7528865157215322,0.9854642184647978,0.9651351678988468,Enhanced + AttentionUNet,3,37
0.7788449178206246,0.6377936178512502,0.748059827851178,0.9837506465256741,0.9635016365617155,Enhanced + AttentionUNet,3,39
0.7152424725622076,0.5567139769856997,0.6019451198313747,0.99137419499717,0.9539974542365881,Enhanced + AttentionUNet,4,25
0.7644812221499752,0.6187532199877036,0.7423891206894514,0.982991094331357,0.964116862649726,Enhanced + AttentionUNet,4,30
0.7870492626396387,0.6488715810111343,0.7929626021104963,0.9804599141367277,0.965295793429214,Enhanced + AttentionUNet,4,33
0.7723833315217182,0.6291730565039838,0.8533258669619082,0.9707927950967274,0.9618923505876585,Enhanced + AttentionUNet,4,40
0.7925294775784619,0.6563551348558581,0.7918343480177765,0.9800556355040331,0.9634713298578726,Enhanced + AttentionUNet,5,27
0.8100432574747507,0.680733364942098,0.8018493235670787,0.980741069149107,0.9632682749421253,Enhanced + AttentionUNet,5,28
0.7551851765619423,0.6066646720001246,0.8152075585445009,0.977939895891474,0.9681264395681392,Enhanced + AttentionUNet,5,31
0.8149665804574363,0.6877161158644982,0.8480357891764013,0.9778661215601305,0.9666080737056107,Enhanced + AttentionUNet,5,35
0.7963116950296648,0.6615597175294394,0.8738340497977377,0.9740846768114935,0.9665929203536894,Enhanced + TransUNet,1,21
0.786476206574615,0.6480929429118544,0.7803683451280473,0.979730202464433,0.9617196023757542,Enhanced + TransUNet,1,22
0.8089661533290352,0.679213404044025,0.8065990413532309,0.9771147594496058,0.9585707358464788,Enhanced + TransUNet,1,36
0.7793715280643738,0.638500203774926,0.8252273764763661,0.9723765519113938,0.959676930536744,Enhanced + TransUNet,1,38
0.8158960512982114,0.6890409006681653,0.7588479949756498,0.9867240711473971,0.9603224633285973,Enhanced + TransUNet,2,24
0.7573684817262473,0.6094875838803554,0.7147934573651225,0.984245354462664,0.961728694386907,Enhanced + TransUNet,2,26
0.7847946705916848,0.6458124002581541,0.7874671182992056,0.9798583099772079,0.9636774154440042,Enhanced + TransUNet,2,29
0.795955848250077,0.6610686552426319,0.7950266824755595,0.9819523658636388,0.9666656564429122,Enhanced + TransUNet,2,32
0.7676708236182068,0.6229429914758193,0.7806932744060181,0.9821533430441569,0.9688901685049798,Enhanced + TransUNet,3,23
0.6422637982230899,0.47304019542422154,0.6597392139230658,0.957191280364374,0.928085222450925,Enhanced + TransUNet,3,34
0.7846303405763876,0.6455898701210769,0.8255608335327292,0.9732995925195775,0.9603861074066674,Enhanced + TransUNet,3,37
0.7846408989359226,0.6456041660846985,0.8178001975419155,0.9749313687781074,0.9614316886892468,Enhanced + TransUNet,3,39
0.7507830463658487,0.6010029276193484,0.6547096529708715,0.9905126202262252,0.9582828221599714,Enhanced + TransUNet,4,25
0.7700805976002161,0.6261228143060892,0.7567222994871089,0.9822445704360152,0.9645532791850635,Enhanced + TransUNet,4,30
0.8028127960343897,0.6705825065412667,0.8256763846180556,0.9796487664616882,0.9671960237601627,Enhanced + TransUNet,4,33
0.7844928812549822,0.6454037735829573,0.8551257949647809,0.9733603533586569,0.964401745665849,Enhanced + TransUNet,4,40
0.7725076272938308,0.6293380264275986,0.7010972379847243,0.988982574853354,0.9636168020363185,Enhanced + TransUNet,5,27
0.7851017667100852,0.6462284207822484,0.70736626535712,0.989759246570409,0.9621772336037816,Enhanced + TransUNet,5,28
0.7495235642525122,0.5993903945934616,0.7313297818839515,0.9858737929830208,0.970523699842111,Enhanced + TransUNet,5,31
0.7960411832932206,0.6611863896396832,0.7674402348638073,0.9847418930933722,0.9658988968356874,Enhanced + TransUNet,5,35
